programId,aucton_house_id,aucton_house_name,is_skeleton_client,
22,22,Blomqvist,FALSE,
44,44,Dalarnas Auktionsbyrå,TRUE,
72,72,Nya Hallands Auktionsverk,TRUE,
90,90,Ingelmark,TRUE,
107,107,LP-Foto,TRUE,
125,125,Probus,TRUE,
128,128,Roseberys,FALSE,
197,197,Morphy Auctions,FALSE,
230,230,Eek Auktionsforretning AS,TRUE,
276,276,Gray's Auctioneers and Appraisers,FALSE,
283,283,Södersens Auktioner AB,TRUE,
605,3768,Jämtloppan,TRUE,
769,769,Dogny Auction,FALSE,
2659,2659,Myntauktioner i Sverige AB,TRUE,
2792,2792,BidALot Coin Auctions,FALSE,
2877,2877,Elmwood's,FALSE,
2949,2949,Knutson & Bloom,TRUE,
2988,2988,AJ Sports World,FALSE,
2990,2990,All Sports Auctions,FALSE,
2997,2997,Celebrity Authentics,FALSE,
3031,3031,Kanonauktioner,TRUE,
3601,3601,Karl-Johan Auktioner,TRUE,
3602,3602,Taurus Auctions,FALSE,churned
3663,3663,Ystads auktioner,TRUE,
3687,3687,Olséns Auktioner,TRUE,
3689,3689,Markus Auktioner,FALSE,
3722,3722,Upplands Auktionsverk,TRUE,
3723,3723,Snapphane Auktioner,TRUE,
3756,3756,Karlssons Auktioner,TRUE,
3764,3764,Sølvesen Myhre Berntsen Antikviteter AS,TRUE,
3849,3849,Laholms HAP,TRUE,
3853,3853,Röfors Auktioner och Second Hand,FALSE,churned
3862,3862,Bastionen,TRUE,
3865,3865,Rekomo,TRUE,
3869,3869,Wunderkammer,TRUE,
3898,3898,Dahlströms Rare Prints,TRUE,
3900,3900,Carlsson Ring Auktioner,TRUE,
3904,3904,Sydklippet,TRUE,
3916,3916,Östlandet,TRUE,
3921,3921,Auksjonshallen,TRUE,
3922,3922,Gun garage,TRUE,
3923,3923,Store Mæla Gård Antikk,TRUE,
3925,3925,Mälardalen Auktioner,TRUE,
3950,3950,Ronald McDonald hus,TRUE,
arosfrimarken,3915,Aros Frimärken,TRUE,
bruketauktion,3952,Auktionen på bruket,TRUE,
skeleton_conap,3902,Conap Auktioner,TRUE,
skeleton_dyrgripen,53,Dyrgripen Handelshus AB,TRUE,
2002,2002,Hilary Batstone,TRUE,
2900,2900,Bo Knutsson Antik & Konsthandel,TRUE,
3414,3414,Bergviks Auktionstjänst,TRUE,
3655,3655,Auktionisten i Södertälje,TRUE,
3957,3957,Österlens Auktioner,TRUE,
dannebrogen,,,FALSE,
nowantiques,,,FALSE,
